,SM_MFEA_DaS_rand_percent_00,MFEA_SBX,MTEA_AD,SBS_GA,EBS_GA,LSA_SBX,MaTGA,S-MFEA_SBX,EME-BI
0,0.0,4.744020000000002,116498.60085099997,1.9000000000000018e-05,1.0000000000000004e-05,0.0,0.004182000000000002,0.0,0.0
1,0.0,4.978209333333335,115089.67320499993,1.9000000000000018e-05,1.4000000000000003e-05,0.0,0.003525,0.0,0.0
2,0.0,4.5159069999999994,118876.77980400006,1.6999999999999993e-05,1.4000000000000003e-05,0.0,0.0038429999999999996,0.0,0.0
3,0.0,4.720972966666667,118046.16469899994,1.6999999999999993e-05,1.2999999999999994e-05,0.0,0.0061140000000000005,0.0,0.0
4,0.0,4.850913066666666,115578.67219199995,1.6999999999999993e-05,1.2000000000000004e-05,0.0,0.003283999999999999,0.0,0.0
5,0.0,4.889230866666666,116002.36972300007,2.000000000000001e-05,1.0999999999999998e-05,0.0,0.0032409999999999982,0.0,0.0
6,0.0,5.1491193,116237.08433699995,2.000000000000001e-05,1.0999999999999998e-05,0.0,0.003792000000000001,0.0,0.0
7,0.0,4.8025557999999995,116969.53319599995,2.1000000000000002e-05,1.0999999999999998e-05,0.0,0.0035769999999999977,0.0,0.0
8,0.0,4.749101,117767.7620330001,2.300000000000001e-05,1.0999999999999998e-05,0.0,0.004138000000000002,0.0,0.0
9,0.0,5.166348666666666,117007.11644600004,1.8e-05,1.2000000000000004e-05,0.0,0.003899,0.0,0.0
10,0.0,4.953485833333333,115050.71608000006,1.9000000000000018e-05,1.2000000000000004e-05,0.0,0.003608,0.0,0.0
11,0.0,5.077117533333333,117122.71847099999,1.6000000000000006e-05,1.0000000000000004e-05,0.0,0.0039000000000000003,0.0,0.0
12,0.0,5.1637659000000005,116423.01380999995,1.8e-05,1.4000000000000003e-05,0.0,0.004089999999999997,0.0,0.0
13,0.0,4.808857966666667,117668.84468699995,1.8e-05,1.2999999999999994e-05,0.0,0.003473000000000001,0.0,0.0
14,0.0,4.939015100000001,115469.30501399995,2.000000000000001e-05,1.2000000000000004e-05,0.0,0.003420000000000002,0.0,0.0
15,0.0,4.913637533333333,119251.26299799992,1.9000000000000018e-05,1.2000000000000004e-05,0.0,0.004458000000000002,0.0,0.0
16,0.0,5.055641399999999,117114.98952199995,1.6999999999999993e-05,1.2999999999999994e-05,0.0,0.005024,0.0,0.0
17,0.0,5.056691733333333,117325.99385000007,1.9000000000000018e-05,1.2000000000000004e-05,0.0,0.0038200000000000013,0.0,0.0
18,0.0,4.684274133333334,118222.09076200005,2.000000000000001e-05,1.4000000000000003e-05,0.0,0.004497,0.0,0.0
19,0.0,4.885295866666667,118036.35991099992,1.6999999999999993e-05,1.2999999999999994e-05,0.0,0.002738,0.0,0.0
20,0.0,4.470543599999999,117176.25188799996,1.8e-05,1.2000000000000004e-05,0.0,0.0042800000000000026,0.0,0.0
21,0.0,5.0836716000000015,114763.10702699996,1.6999999999999993e-05,1.0999999999999998e-05,0.0,0.0027950000000000006,0.0,0.0
22,0.0,5.0505123,115339.21358000007,1.6999999999999993e-05,1.0999999999999998e-05,0.0,0.004739999999999997,0.0,0.0
23,0.0,4.712999700000001,115091.66949999995,1.6999999999999993e-05,1.0000000000000004e-05,0.0,0.0040560000000000014,0.0,0.0
24,0.0,4.4232908,119038.01193499994,1.9000000000000018e-05,1.4000000000000003e-05,0.0,0.004877999999999996,0.0,0.0
25,0.0,4.4971792666666675,115704.48431700001,1.8e-05,1.2000000000000004e-05,0.0,0.003598000000000001,0.0,0.0
26,0.0,5.0483633,116239.65957400006,1.6999999999999993e-05,1.2000000000000004e-05,0.0,0.0035199999999999984,0.0,0.0
27,0.0,4.502448766666665,114362.79406500001,1.6999999999999993e-05,1.0999999999999998e-05,0.0,0.004896,0.0,0.0
28,0.0,4.388920033333334,113960.52956099996,1.9000000000000018e-05,1.2999999999999994e-05,0.0,0.003969,0.0,0.0
29,0.0,4.6877089666666665,117267.43270300001,1.8e-05,1.2000000000000004e-05,0.0,0.004951,0.0,0.0
30,0.0,5.084693566666667,116546.66962100004,1.8e-05,1.2999999999999994e-05,0.0,0.0048200000000000005,0.0,0.0
31,0.0,4.702642633333334,116574.30677400004,1.4999999999999995e-05,1.4999999999999995e-05,0.0,0.003035,0.0,0.0
32,0.0,4.7892585,115182.648211,1.6999999999999993e-05,1.0999999999999998e-05,0.0,0.003853999999999997,0.0,0.0
33,0.0,4.730749466666667,116820.91011899992,1.8e-05,1.0999999999999998e-05,0.0,0.0034300000000000016,0.0,0.0
34,0.0,4.4862942,116873.02646900005,1.6999999999999993e-05,1.2000000000000004e-05,0.0,0.004519999999999997,0.0,0.0
35,0.0,5.335345200000001,118588.13764599993,1.9000000000000018e-05,1.4000000000000003e-05,0.0,0.0035040000000000023,0.0,0.0
36,0.0,4.597083133333333,118202.73015000006,1.8e-05,1.2000000000000004e-05,0.0,0.003769999999999998,0.0,0.0
37,0.0,4.8193896333333335,114931.40411299994,1.9000000000000018e-05,1.2000000000000004e-05,0.0,0.005014,0.0,0.0
38,0.0,4.195975233333333,116856.85740000007,1.6999999999999993e-05,1.0999999999999998e-05,0.0,0.0036790000000000013,0.0,0.0
39,0.0,4.451815766666668,116840.33291500005,1.9000000000000018e-05,1.0999999999999998e-05,0.0,0.004173999999999998,0.0,0.0
40,0.0,4.566197533333335,118929.66766599995,1.6999999999999993e-05,1.0999999999999998e-05,0.0,0.004451999999999999,0.0,0.0
